speaker,item,start,label,duration,tp,f0
PL03,zywo,86.319955,V1,0.12,86.3799775,179.9419
PL03,kuma,91.389977,V1,0.08,91.429977,187.5617
PL03,nowo,95.189977,V1,0.1372,95.25860173,189.5963
PL03,niebo,99.23668767,V1,0.0685,99.27095994,197.3269
PL03,bywalec,102.719955,V1,0.09,102.764966,210.632
PL03,cumowac,106.8443392,V1,0.0656,106.8771581,275.8393
PL03,rzepa,116.8851083,V1,0.0801,116.9251432,169.5198
PL03,nieborak,120.5668685,V1,0.0679,120.6008375,225.9449
PL03,babo,124.5276126,V1,0.1334,124.5943374,176.8256
PL03,kumaty,128.4689694,V1,0.0655,128.5017252,254.0562
PL03,papa,132.6225853,V1,0.1031,132.6741453,179.9984
PL03,mimoza,136.8174727,V1,0.0764,136.8556878,242.4809
PL03,zima,140.9226085,V1,0.0946,140.9699225,253.1874
PL03,popa,144.9634224,V1,0.0934,145.0101297,199.7581
PL03,sumo,148.9544959,V1,0.1068,149.0078758,289.7644
PL03,nowotw€r,152.843686,V1,0.0946,152.891,227.1843
PL03,zimami,156.82,V1,0.06,156.85,246.8108
PL03,bywa,160.889977,V1,0.1021,160.9410195,224.0923
PL03,papaja,164.8933839,V1,0.0764,164.931599,211.2901
PL03,babochlop,169.0457866,V1,0.0898,169.0906742,204.2412
PL03,mimo,173.679821,V1,0.1068,173.7332008,257.8975
PL03,popada,178.3023067,V1,0.0679,178.3362757,222.4797
PL03,zywotnie,182.3449403,V1,0.0946,182.3922543,245.4528
PL03,rzepaku,186.4876846,V1,0.0789,186.5271129,237.9501
PL03,zywo,190.552762,V1,0.1116,190.6085682,236.9886
PL03,kuma,194.7391573,V1,0.1008,194.7895786,257.3995
PL03,nowo,198.809977,V1,0.13,198.874966,199.4496
PL03,niebo,202.8935756,V1,0.0789,202.9330039,225.7916
PL03,bywalec,206.449977,V1,0.0938,206.4968851,216.111
PL03,cumowac,210.758068,V1,0.0594,210.7877908,253.4243
PL03,rzepa,214.579955,V1,0.0722,214.6160329,196.3987
PL03,nieborak,217.6666466,V1,0.0433,217.6883118,221.2383
PL03,babo,220.749977,V1,0.1302,220.8150603,189.2821
PL03,kumaty,224.199955,V1,0.06,224.2299775,248.8372
PL03,papa,227.5193966,V1,0.0764,227.5576117,181.7449
PL03,mimoza,230.8141765,V1,0.0758,230.8520768,227.4463
PL03,zima,234.1817236,V1,0.0982,234.2308393,216.4892
PL03,popa,237.2945268,V1,0.0813,237.3351683,202.7982
PL03,sumo,240.8974304,V1,0.0728,240.9338257,244.3707
PL03,nowotw€r,244.429977,V1,0.0618,244.4608976,243.198
PL03,zimami,248.119955,V1,0.06,248.1499775,237.5472
PL03,bywa,251.2997031,V1,0.0898,251.3445907,164.3424
PL03,papaja,254.509584,V1,0.0631,254.5411266,193.6107
PL03,babochlop,257.889977,V1,0.0842,257.9320694,196.9256
PL03,mimo,260.989977,V1,0.1,261.039977,199.3163
PL03,popada,263.7946138,V1,0.0546,263.8219103,196.4219
PL03,zywotnie,267.146366,V1,0.0594,267.1760889,223.626
PL03,rzepaku,270.309977,V1,0.0511,270.3355266,205.4406
PL03,zywo,273.7722977,V1,0.0777,273.8111373,201.6312
PL03,kuma,277.1192442,V1,0.0807,277.1595996,206.6284
PL03,nowo,279.9857723,V1,0.1165,280.0440048,199.3007
PL03,niebo,282.9433122,V1,0.0667,282.9766746,200.7264
PL03,bywalec,286.14,V1,0.09,286.1849885,199.7538
PL03,cumowac,289.611705,V1,0.0483,289.6358525,224.2288
PL03,rzepa,293.049977,V1,0.0724,293.0861921,211.2811
PL03,nieborak,295.8967572,V1,0.0532,295.9233671,197.0157
PL03,babo,298.809977,V1,0.1304,298.8751931,187.5913
PL03,kumaty,301.979955,V1,0.04,301.9999775,201.0885
PL03,papa,305.059955,V1,0.083,305.1014601,178.4433
PL03,mimoza,308.309977,V1,0.09,308.354966,205.084
PL03,zima,311.689977,V1,0.12,311.749977,183.5581
PL03,popa,314.76,V1,0.0756,314.7977996,172.7173
PL03,sumo,317.639955,V1,0.07,317.674966,189.6278
PL03,nowotw€r,320.5529311,V1,0.0776,320.5917528,188.6931
PL03,zimami,323.889977,V1,0.06,323.919977,211.6912
PL03,bywa,326.9495721,V1,0.0904,326.994786,160.4223
PL03,papaja,329.969977,V1,0.0681,330.0040444,185.4957
PL03,babochlop,333.289977,V1,0.0793,333.3296202,214.0739
PL03,mimo,336.6834307,V1,0.0837,336.7252854,186.2055
PL03,popada,339.8411215,V1,0.0558,339.8690246,191.1157
PL03,zywotnie,343.24,V1,0.05,343.2649885,199.9022
